MANCODIGO,
"004570047"
"002566091"
"004623073"
"002103040"
"009208044"
"009208021"
"009208022"
"009208031"
"009208034"
"002433004"
"002305029"
"001420068"
"001323043"
"001336098"
"002534005"
"006406007"
"009259086"
"001355010"
"001355012"
"002521015"
"002521014"
"002521016"
"002414027"
"005603076"
"002515011"
"008504010"
"008504012"
"003101021"
"004512021"
"008307008"
"001301059"
"001301044"
"008504051"
"006209007"
"001336023"
"004501071"
"005627033"
"001304063"
"208203065"
"006409081"
"008520013"
"008520014"
"008520017"
"008520022"
"008520026"
"008520027"
"005203012"
"005203024"
"002536035"
"002431051"
"004304072"
"002409039"
"009203087"
"007301019"
"008515024"
"002607035"
"001345032"
"004527038"
"004637053"
"002611048"
"002611049"
"008520074"
"004581077"
"002430016"
"001355039"
"002607023"
"002552051"
"002448004"
"004545046"
"005403086"
"005616094"
"001303003"
"002595071"
"001353003"
"005502025"
"005502034"
"008401005"
"002521099"
"008530012"
"004408026"
"002519077"
"001204062"
"001404041"
"004611002"
"009252051"
"009208070"
"001322010"
"001355035"
"006313012"
"006313013"
"009252064"
"001355036"
"002513056"
"005306014"
"002449008"
"002569008"
"004304005"
"006313024"
"006313026"
"006313027"
"006313028"
"006313043"
"006313055"
"006313056"
"004551003"
"003211021"
"005611065"
"004512061"
"004101020"
"006402046"
"002517006"
"005201038"
"008404039"
"009114015"
"008307001"
"007301001"
"001324002"
"002616089"
"002426070"
"005634004"
"003203004"
"002307025"
"006407006"
"006502018"
"002571085"
"002571099"
"006320044"
"002415017"
"004527005"
"004573090"
"002643003"
"004589015"
"008504022"
"002539040"
"009257066"
"009128022"
"001419048"
"002436072"
"002446019"
"004537015"
"002590028"
"002578045"
"002571037"
"009233065"
"005679076"
"002565056"
"002565051"
"005665033"
"004539009"
"004539010"
"004594021"
"004594029"
"009242004"
"006413040"
"004405058"
"004583053"
"002583036"
"002415022"
"004110018"
"009123036"
"007206001"
"008313002"
"009210029"
"009252069"
"009252089"
"006107004"
"001324023"
"001108015"
"004511072"
"009221021"
"004537005"
"004552064"
"004537006"
"004537009"
"004537008"
"004545016"
"002539002"
"006107020"
"002408040"
"009212039"
"008201012"
"006320015"
"002414026"
"009255058"
"006401041"
"006413001"
"006413007"
"007309002"
"005308049"
"005206001"
"006107001"
"005206030"
"002518031"
"001319026"
"006312032"
"004522082"
"008507019"
"001325098"
"009208039"
"009208042"
"009208048"
"009208050"
"006216008"
"005648023"
"003202047"
"004504038"
"004404048"
"001301049"
"004404050"
"001301053"
"004593012"
"005680004"
"004404052"
"004404053"
"004404054"
"004404061"
"004405001"
"004404047"
"002614003"
"002615063"
"004308028"
"004308032"
"002570037"
"009124040"
"002426011"
